id	name	name_en	name_zh-CN	name_zh-TW	description	description_en	description_zh-CN	description_zh-TW
2048	決戦 LEGEND FES 最後の日	Final Battle - LEGEND FES Last Day	决战 LEGEND FES 终结之日	決戰 LEGEND FES 最後一日	決戦装備のフロッケ・スールが新登場＆PickUP！\n2024/04/03 11:59まで開催	Flocke and Suelle make their debut in their final battle outfits!\nFeatured until 2024/07/18 10:59 (UTC+8).	决战装备芙洛可、苏瑞全新登场&Pick Up！\n举办时间截至2024/07/18 10:59（UTC+8）	決戰裝備芙洛可、蘇瑞新登場＆PickUP！\n活動至2024/07/18 10:59（UTC+8）為止。
2049	決戦 LEGEND FES 最後の日[有償限定]	Final Battle - LEGEND FES Last Day [Paid Lodestar Gems Only]	决战 LEGEND FES 终结之日[仅限付费星导石]	決戰 LEGEND FES 最後一日[付費限定]	10周限り！有償星導石でガチャを20回引くと\n10回無料！2024/04/03 11:59まで開催	For every 20 Wishes with Paid Lodestar Gems, get 10 Wishes for free! Max 10 times! \nUntil 2024/07/18 10:59 (UTC+8).	仅限10轮！使用付费星导石许下20次星愿后，\n即可免费许下10次星愿！举办时间截至2024/07/18 10:59（UTC+8）	僅限10週！使用付費星導石抽星願20次，\n即可獲得10次免費！活動至2024/07/18 10:59（UTC+8）為止。
2050	レスレリ学園 LEGEND FES 入学編	Resleriana Academy - LEGEND FES Admission Arc	蕾斯莱莉娅娜学园 LEGEND FES 入学篇	蕾斯萊莉婭娜學園 LEGEND FES 入學篇	制服姿のレスナ・ソフィーが新登場＆PickUP！\n2024/05/01 11:59まで開催	Resna and Sophie make their debut in school uniforms!\nFeatured until 2024/08/16 10:59 (UTC+8).	身穿校服的蕾斯娜、苏菲全新登场&Pick Up！\n举办时间截至2024/08/16 10:59（UTC+8）	制服裝束的蕾斯娜、蘇菲新登場＆PickUP！\n活動至2024/08/16 10:59（UTC+8）為止。
2051	レスレリ学園 LEGEND FES 入学編[有償限定]	Resleriana Academy - LEGEND FES Admission Arc [Paid Lodestar Gems Only]	蕾斯莱莉娅娜学园 LEGEND FES 入学篇[仅限付费星导石]	蕾斯萊莉婭娜學園 LEGEND FES 入學篇[付費限定]	5周限り！有償星導石でガチャを20回引くと\n10回無料！2024/05/01 11:59まで開催	For every 20 Wishes with Paid Lodestar Gems, get 10 Wishes for free! Max 5 times!\nUntil 2024/08/16 10:59 (UTC+8).	仅限5轮！使用付费星导石许下20次星愿后，即可免费许下10次星愿！举办时间截至2024/08/16 10:59（UTC+8）	僅限5週！使用付費星導石抽星願20次\n即可獲得10次免費！活動至2024/08/16 10:59（UTC+8）為止。
2053	レスレリ学園 LEGEND FES 錬金祭編	Resleriana Academy - LEGEND FES Alchemy Festival Arc	蕾斯莱莉娅娜学园 LEGEND FES 炼金庆典篇	蕾斯萊莉婭娜學園 LEGEND FES 鍊金祭篇	制服姿のライザ・ミミが新登場＆PickUP！\n2024/04/23 11:59まで開催	Ryza and Mimi make their debut in school uniforms!\nFeatured until 2024/08/06 10:59 (UTC+8).	身穿校服的莱莎、敏敏全新登场&Pick Up！\n举办时间截至2024/08/06 10:59（UTC+8）	制服裝束的萊莎、敏敏新登場＆PickUP！\n活動至2024/08/06 10:59（UTC+8）為止。
2054	レスレリ学園 LEGEND FES 錬金祭編[有償限定]	Resleriana Academy - LEGEND FES Alchemy Festival Arc [Paid Lodestar Gems Only]	蕾斯莱莉娅娜学园 LEGEND FES 炼金庆典篇[仅限付费星导石]	蕾斯萊莉婭娜學園 LEGEND FES 鍊金祭篇[付費限定]	5周限り！有償星導石でガチャを20回引くと\n10回無料！2024/04/23 11:59まで開催	For every 20 Wishes with Paid Lodestar Gems, get 10 Wishes for free! Max 5 times!\nUntil 2024/08/06 10:59 (UTC+8).	仅限5轮！使用付费星导石许下20次星愿后，即可免费许下10次星愿！举办时间截至2024/08/06 10:59（UTC+8）	僅限5週！使用付費星導石抽星願20次\n即可獲得10次免費！活動至2024/08/06 10:59（UTC+8）為止。
2055	レスレリ学園 LEGEND FES 対抗戦編	Resleriana Academy - LEGEND FES Tournament Arc	蕾斯莱莉娅娜学园 LEGEND FES 对抗赛篇	蕾斯萊莉婭娜學園 LEGEND FES 對抗賽篇	制服姿のロロナ・エレンが新登場＆PickUP！\n2024/05/01 11:59まで開催	Rorona and Eren make their debut in school uniforms!\nFeatured until 2024/08/16 10:59 (UTC+8).	身穿校服的萝乐娜、艾莲全新登场&Pick Up！\n举办时间截至2024/08/16 10:59（UTC+8）	制服蘿樂娜、艾蓮新登場＆PickUP！\n活動至2024/08/16 10:59（UTC+8）為止。
2056	レスレリ学園 LEGEND FES 対抗戦編[有償限定]	Resleriana Academy - LEGEND FES Tournament Arc [Paid Lodestar Gems Only]	蕾斯莱莉娅娜学园 LEGEND FES 对抗赛篇[仅限付费星导石]	蕾斯萊莉婭娜學園 LEGEND FES 對抗賽篇[付費限定]	5周限り！有償星導石でガチャを20回引くと\n10回無料！2024/05/01 11:59まで開催	For every 20 Wishes with Paid Lodestar Gems, get 10 Wishes for free! Max 5 times!\nUntil 2024/08/16 10:59 (UTC+8).	仅限5轮！使用付费星导石许下20次星愿后，即可免费许下10次星愿！举办时间截至2024/08/16 10:59（UTC+8）	僅限5週！使用付費星導石抽星願20次\n即可獲得10次免費！活動至2024/08/16 10:59（UTC+8）為止。
2057	癒しくつろぎ温泉 LEGEND FES	Healing & Relaxing Hot Springs - LEGEND FES	休养怡心温泉 LEGEND FES	療癒舒心溫泉 LEGEND FES	浴衣姿のクラウディアが新登場＆PickUP！\n2024/05/14 11:59まで開催	Yukata Klaudia makes her debut!\nFeatured until 2024/08/27 10:59 (UTC+8).	身穿浴衣的科洛蒂娅全新登场&Pick Up！\n举办时间截至2024/08/27 10:59（UTC+8）	浴衣科洛蒂婭新登場＆PickUP！\n活動至2024/08/27 10:59（UTC+8）為止。
2058	癒しくつろぎ温泉 LEGEND FES[有償限定]	Healing & Relaxing Hot Springs - LEGEND FES [Paid Lodestar Gems Only]	休养怡心温泉 LEGEND FES[仅限付费星导石]	療癒舒心溫泉 LEGEND FES[付費限定]	5周限り！有償星導石でガチャを20回引くと\n10回無料！2024/05/14 11:59まで開催	For every 20 Wishes with Paid Lodestar Gems, get 10 Wishes for free! Max 5 times!\nUntil 2024/08/27 10:59 (UTC+8).	仅限5轮！使用付费星导石许下20次星愿后，即可免费许下10次星愿！举办时间截至2024/08/27 10:59（UTC+8）	僅限5週！使用付費星導石抽星願20次\n即可獲得10次免費！活動至2024/08/27 10:59（UTC+8）為止。
2059	新章記念 海の男の門出 LEGEND FES	New Chapter: The Seafarer's New Beginning - LEGEND FES	新章节纪念 海上男儿将远行 LEGEND FES	新章節紀念 海上男兒的旅程 LEGEND FES	新衣装のトトリとランツェが新登場＆PickUP！\n2024/05/21 11:59まで開催	Totori in a new outfit and Lanze make their debut!\nFeatured until 2024/09/03 10:59 (UTC+8).	新服装托托莉和兰泽全新登场&Pick Up！\n举办时间截至2024/09/03 10:59（UTC+8）	新服裝托托莉與藍澤新登場＆PickUP！\n活動至2024/09/03 10:59（UTC+8）為止。
2060	新章記念 海の男の門出 LEGEND FES[有償限定]	New Chapter: The Seafarer's New Beginning - LEGEND FES [Paid Lodestar Gems Only]	新章节纪念 海上男儿将远行 LEGEND FES[仅限付费星导石]	新章節紀念 海上男兒的旅程 LEGEND FES[付費限定]	5周限り！有償星導石でガチャを20回引くと\n10回無料！2024/05/21 11:59まで開催	For every 20 Wishes with Paid Lodestar Gems, get 10 Wishes for free! Max 5 times!\nUntil 2024/09/03 10:59 (UTC+8).	仅限5轮！使用付费星导石许下20次星愿后，即可免费许下10次星愿！举办时间截至2024/09/03 10:59（UTC+8）	僅限5週！使用付費星導石抽星願20次\n即可獲得10次免費！活動至2024/09/03 10:59（UTC+8）為止。
2061	ATELIER 27th LEGEND FES	ATELIER 27th - LEGEND FES	ATELIER 27th LEGEND FES	ATELIER 27th LEGEND FES	ドレス姿のマリーが新登場＆PickUP！\n2024/06/01 11:59まで開催	A new version of Marie in a dress makes her debut!\nFeatured until 2024/09/14 10:59 (UTC+8).	旗袍玛莉全新登场&Pick Up！\n举办时间截至2024/09/14 10:59（UTC+8）	旗袍瑪莉新登場＆PickUP！\n活動至2024/09/14 10:59（UTC+8）為止。
2062	ATELIER 27th LEGEND FES[有償限定]	ATELIER 27th - LEGEND FES [Paid Lodestar Gems Only]	ATELIER 27th LEGEND FES[仅限付费星导石]	ATELIER 27th LEGEND FES[付費限定]	5周限り！有償星導石でガチャを20回引くと\n10回無料！2024/06/01 11:59まで開催	For every 20 Wishes with Paid Lodestar Gems, get 10 Wishes for free! Max 5 times!\nUntil 2024/09/14 10:59 (UTC+8).	仅限5轮！使用付费星导石许下20次星愿后，即可免费许下10次星愿！举办时间截至2024/09/14 10:59（UTC+8）	僅限5週！使用付費星導石抽星願20次\n即可獲得10次免費！活動至2024/09/14 10:59（UTC+8）為止。
2063	新章記念 緋蒼の剣士 LEGEND FES	New Chapter: Crimson and Azure Blades - LEGEND FES	新章节纪念 绯苍剑士 LEGEND FES	新章節紀念 緋蒼劍士 LEGEND FES	新衣装のユナ・リンカが新登場＆PickUP！\n2024/06/11 11:59まで開催	Juna and Linca in all new outfits!\nFeatured until 2024/09/24 10:59 (UTC+8).	新服装尤娜、琳卡全新登场&Pick Up！\n举办时间截至2024/09/24 10:59（UTC+8）	新服裝尤娜、琳卡新登場& PickUP！\n活動至2024/09/24 10:59（UTC+8）為止。
2064	新章記念 緋蒼の剣士 LEGEND FES[有償限定]	New Chapter: Crimson and Azure Blades - LEGEND FES [Paid Lodestar Gems Only]	新章节纪念 绯苍剑士 LEGEND FES[仅限付费星导石]	新章節紀念 緋蒼劍士 LEGEND FES[付費限定]	5周限り！有償星導石でガチャを20回引くと\n10回無料！2024/06/11 11:59まで開催	For every 20 Wishes with Paid Lodestar Gems, get 10 Wishes for free! Max 5 times!\nUntil 2024/09/24 10:59 (UTC+8).	仅限5轮！使用付费星导石许下20次星愿后，即可免费许下10次星愿！举办时间截至2024/09/24 10:59（UTC+8）	僅限5週！使用付費星導石抽星願20次\n即可獲得10次免費！活動至2024/09/24 10:59（UTC+8）為止。
2065	竜の花嫁 LEGEND FES	The Dragon's Bride - LEGEND FES	龙的新娘 LEGEND FES	龍的新娘 LEGEND FES	花嫁衣装のイザナ・ハイディが新登場＆PickUP！\n2024/06/24 11:59まで開催	Izana and Heidi in bridal outfits!\nFeatured until 2024/10/04 10:59 (UTC+8).	新娘服装伊札娜、海蒂全新登场&Pick Up！\n举办时间截至2024/10/04 10:59（UTC+8）	新娘禮服伊札娜、海蒂新登場&PickUP！\n活動至2024/10/04 10:59（UTC+8）為止。
2066	竜の花嫁 LEGEND FES[有償限定]	The Dragon's Bride - LEGEND FES [Paid Lodestar Gems Only]	龙的新娘  LEGEND FES[仅限付费星导石]	龍的新娘 LEGEND FES[付費限定]	5周限り！有償星導石でガチャを20回引くと\n10回無料！2024/06/24 11:59まで開催	For every 20 Wishes with Paid Lodestar Gems, get 10 Wishes for free! Max 5 times!\nUntil 2024/10/04 10:59 (UTC+8).	仅限5轮！使用付费星导石许下20次星愿后，即可免费许下10次星愿！举办时间截至2024/10/04 10:59（UTC+8）	僅限5週！使用付費星導石抽星願20次\n即可獲得10次免費！活動至2024/10/04 10:59（UTC+8）為止。
2067	黄昏の開発班 LEGEND FES	Dusk Development Team - LEGEND FES	黄昏的开发组 LEGEND FES	黃昏的開發組 LEGEND FES	新衣装のエスカ・マリオンが新登場＆PickUP！\n2024/07/02 11:59まで開催	Escha and Marion in all new outfits!\nFeatured until 2024/10/12 10:59 (UTC+8).	新服装爱丝卡、玛丽翁全新登场&Pick Up！\n举办时间截至2024/10/12 10:59（UTC+8）	新服裝愛絲卡、瑪麗翁新登場& PickUP！\n活動至2024/10/12 10:59（UTC+8）為止。
2068	黄昏の開発班 LEGEND FES[有償限定]	Dusk Development Team - LEGEND FES [Paid Lodestar Gems Only]	黄昏的开发组 LEGEND FES[仅限付费星导石]	黃昏的開發組 LEGEND FES[付費限定]	5周限り！有償星導石でガチャを20回引くと\n10回無料！2024/07/02 11:59まで開催	For every 20 Wishes with Paid Lodestar Gems, get 10 Wishes for free! Max 5 times!\nUntil 2024/10/12 10:59 (UTC+8).	仅限5轮！使用付费星导石许下20次星愿后，即可免费许下10次星愿！举办时间截至2024/10/12 10:59（UTC+8）	僅限5週！使用付費星導石抽星願20次\n即可獲得10次免費！活動至2024/10/12 10:59（UTC+8）為止。
2069	新章記念 影の潜入者 LEGEND FES	New Chapter: Shadow Infiltrators - LEGEND FES	新章节纪念 影之潜入者 LEGEND FES	新章節紀念 暗影潛入者 LEGEND FES	潜入衣装のロマン・ウィルベルが新登場＆PickUP！\n2024/07/11 11:59まで開催	Roman and Wilbell make their debut in stealth outfits!\nFeatured until 2024/10/22 10:59 (UTC+8).	潜行装束罗曼、薇尔贝儿全新登场&Pick Up！\n举办时间截至2024/10/22 10:59（UTC+8）	潛入裝束的羅曼和薇爾貝兒新登場&PickUP！\n活動至2024/10/22 10:59（UTC+8）為止。
2070	新章記念 影の潜入者 LEGEND FES[有償限定]	New Chapter: Shadow Infiltrators - LEGEND FES [Paid Lodestar Gems Only]	新章节纪念 影之潜入者 LEGEND FES[仅限付费星导石]	新章節紀念 暗影潛入者 LEGEND FES[付費限定]	5周限り！有償星導石でガチャを20回引くと\n10回無料！2024/07/11 11:59まで開催	For every 20 Wishes with Paid Lodestar Gems, get 10 Wishes for free! Max 5 times!\nUntil 2024/10/22 10:59 (UTC+8).	仅限5轮！使用付费星导石许下20次星愿后，即可免费许下10次星愿！举办时间截至2024/10/22 10:59（UTC+8）	僅限5週！使用付費星導石抽星願20次\n即可獲得10次免費！活動至2024/10/22 10:59（UTC+8）為止。
2071	アトリエサマー第1弾 LEGEND FES	Atelier Summer Part 1 - LEGEND FES	炼金工房盛夏 第1弹 LEGEND FES	鍊金工房盛夏 第1彈 LEGEND FES	水着衣装のレスナ・ライザが新登場＆PickUP！\n2024/08/22 11:59まで開催	Resna and Ryza are back, this time in swimsuits!\nFeatured until 2024/12/05 10:59 (UTC+8).	泳装蕾斯娜、莱莎全新登场&Pick Up！\n举办时间截至2024/12/05 10:59（UTC+8）	泳裝造型蕾斯娜與萊莎新登場＆PickUP！\n活動至2024/12/05 10:59（UTC+8）為止。
2072	アトリエサマー第1弾 LEGEND FES[有償限定]	Atelier Summer Part 1 - LEGEND FES [Paid Lodestar Gems Only]	炼金工房盛夏 第1弹 LEGEND FES[仅限付费星导石]	鍊金工房盛夏 第1彈 LEGEND FES[付費限定]	5周限り！有償星導石でガチャを20回引くと\n10回無料！2024/08/22 11:59まで開催	For every 20 Wishes with Paid Lodestar Gems, get 10 Wishes for free! Max 5 times!\nUntil 2024/12/05 10:59 (UTC+8).	仅限5轮！使用付费星导石许下20次星愿后，即可免费许下10次星愿！举办时间截至2024/12/05 10:59（UTC+8）	僅限5週！使用付費星導石抽星願20次\n即可獲得10次免費！活動至2024/12/05 10:59（UTC+8）為止。
2073	３章突破記念 SSRメモリア選んで確定ガチャ	Chapter 3 Clear Commemoration: Select a Guaranteed SSR Memoria Wish	第3章突破纪念 必定获得所选SSR回忆星愿	3章突破記念 確定出現SSR選擇回憶星願	STEP2とSTEP5は1回無料\n選択したSSRメモリアが確定！	1 Free Wish at Step 2 and Step 5!\nGuarantees you receive your selected SSR Memoria!	STEP2和STEP5为1次免费星愿\n必定获得所选SSR回忆！	STEP2與STEP5免費1次。\n確定出現選擇的SSR回憶！
2074	アトリエサマー第2弾 LEGEND FES	Atelier Summer Part 2 - LEGEND FES	炼金工房盛夏 第2弹 LEGEND FES	鍊金工房盛夏 第2彈 LEGEND FES	水着姿のヴァレリアが新登場＆PickUP！\n2024/08/01 11:59まで開催	Valeria is back, this time in swimsuits!\nFeatured until 2024/11/14 10:59 (UTC+8).	泳装瓦莱莉娅全新登场&Pick Up！\n举办时间截至2024/11/14 10:59（UTC+8）	泳裝造型瓦萊莉婭新登場＆PickUP！\n活動至2024/11/14 10:59（UTC+8）為止。
2075	アトリエサマー第2弾 LEGEND FES[有償限定]	Atelier Summer Part 2 - LEGEND FES [Paid Lodestar Gems Only]	炼金工房盛夏 第2弹 LEGEND FES[仅限付费星导石]	鍊金工房盛夏 第2彈 LEGEND FES[付費限定]	5周限り！有償星導石でガチャを20回引くと\n10回無料！2024/08/01 11:59まで開催	For every 20 Wishes with Paid Lodestar Gems, get 10 Wishes for free! Max 5 times!\nUntil 2024/11/14 10:59 (UTC+8).	仅限5轮！使用付费星导石许下20次星愿后，即可免费许下10次星愿！举办时间截至2024/11/14 10:59（UTC+8）	僅限5週！使用付費星導石抽星願20次\n即可獲得10次免費！活動至2024/11/14 10:59（UTC+8）為止。
2076	雷電祭ガチャ LEGEND FES[有償限定]	Bolt Division - LEGEND FES [Paid Lodestar Gems Only]	雷电会场 LEGEND FES[仅限付费星导石]	雷電祭 LEGEND FES[付費限定]	5周限り！有償星導石でガチャを20回引くと\n10回無料！2024/08/05 11:59まで開催	For every 20 Wishes with Paid Lodestar Gems, get 10 Wishes for free! Max 5 times!\nUntil 2024/09/23 10:59 (UTC+8).	仅限5轮！使用付费星导石许下20次星愿后，即可免费许下10次星愿！举办时间截至2024/09/23 10:59（UTC+8）	僅限5週！使用付費星導石抽星願20次\n即可獲得10次免費！活動至2024/09/23 10:59（UTC+8）為止。
2077	アトリエサマー第3弾 LEGEND FES	Atelier Summer Part 3 - LEGEND FES	炼金工房盛夏 第3弹 LEGEND FES	鍊金工房盛夏 第3彈 LEGEND FES	水着衣装のクラウディアが新登場＆PickUP！\n2024/08/10 11:59まで開催	Klaudia is back, this time in swimsuits!\nFeatured until 2024/11/23 10:59 (UTC+8).	泳装科洛蒂娅全新登场&Pick Up！\n举办时间截至2024/11/23 10:59（UTC+8）	泳裝造型科洛蒂婭新登場＆PickUP！\n活動至2024/11/23 10:59（UTC+8）為止。
2078	アトリエサマー第3弾 LEGEND FES[有償限定]	Atelier Summer Part 3 - LEGEND FES [Paid Lodestar Gems Only]	炼金工房盛夏 第3弹 LEGEND FES[仅限付费星导石]	鍊金工房盛夏 第3彈 LEGEND FES[付費限定]	5周限り！有償星導石でガチャを20回引くと\n10回無料！2024/08/10 11:59まで開催	For every 20 Wishes with Paid Lodestar Gems, get 10 Wishes for free! Max 5 times!\nUntil 2024/11/23 10:59 (UTC+8).	仅限5轮！使用付费星导石许下20次星愿后，即可免费许下10次星愿！举办时间截至2024/11/23 10:59（UTC+8）	僅限5週！使用付費星導石抽星願20次\n即可獲得10次免費！活動至2024/11/23 10:59（UTC+8）為止。
2079	氷凍祭ガチャ LEGEND FES[有償限定]	Ice Division - LEGEND FES [Paid Lodestar Gems Only]	冰冻会场 LEGEND FES[仅限付费星导石]	冰凍祭 LEGEND FES[付費限定]	5周限り！有償星導石でガチャを20回引くと\n10回無料！2024/08/19 11:59まで開催	For every 20 Wishes with Paid Lodestar Gems, get 10 Wishes for free! Max 5 times!\nUntil 2024/10/07 10:59 (UTC+8).	仅限5轮！使用付费星导石许下20次星愿后，即可免费许下10次星愿！举办时间截至2024/10/07 10:59（UTC+8）	僅限5週！使用付費星導石抽星願20次\n即可獲得10次免費！活動至2024/10/07 10:59（UTC+8）為止。
2080	アトリエサマー第4弾 LEGEND FES	Atelier Summer Part 4 - LEGEND FES	炼金工房盛夏 第4弹 LEGEND FES	鍊金工房盛夏 第4彈 LEGEND FES	「「また」の約束」が新登場＆PickUP！\n2024/08/22 11:59まで開催	"""Promise of a Return"" makes its debut!\nFeatured until 2024/12/05 10:59 (UTC+8)."	“‘下次再来’的约定”全新登场&Pick Up！\n举办时间截至2024/12/05 10:59 (UTC+8)	「約定『再來』」新登場＆PickUP！\n活動至2024/12/05 10:59 (UTC+8)為止。
2081	アトリエサマー第4弾 LEGEND FES[有償限定]	Atelier Summer Part 4 - LEGEND FES [Paid Lodestar Gems Only]	炼金工房盛夏 第4弹 LEGEND FES[仅限付费星导石]	鍊金工房盛夏 第4彈 LEGEND FES[付費限定]	5周限り！有償星導石でガチャを20回引くと\n10回無料！2024/08/22 11:59まで開催	For every 20 Wishes with Paid Lodestar Gems, get 10 Wishes for free! Max 5 times!\nUntil 2024/12/05 10:59 (UTC+8).	仅限5轮！使用付费星导石许下20次星愿后，即可免费许下10次星愿！举办时间截至2024/12/05 10:59（UTC+8）	僅限5週！使用付費星導石抽星願20次\n即可獲得10次免費！活動至2024/12/05 10:59（UTC+8）為止。
2082	1周年 星祈祭 LEGEND FES 光差す月影	1st Anniversary Star Festival - LEGEND FES Radiant Moonlight	1周年 星祈祭 LEGEND FES 月影渐明	1週年 星祈祭LEGEND FES 照耀月影	ヨハナ・ザスキアが新登場＆PickUP！\n2024/08/31 11:59まで開催	Johanna and Saskia make their debut!\nFeatured until 2024/12/14 10:59 (UTC+8).	约翰娜、萨丝琪亚全新登场&PickUP！\n活动时间截至2024/12/14 10:59（UTC+8）	約翰娜、薩絲琪亞新登場&PickUP！\n活動至2024/12/14 10:59（UTC+8）為止。
2083	1周年 星祈祭 LEGEND FES 光差す月影[有償限定]	1st Anniversary Star Festival - LEGEND FES Radiant Moonlight [Paid Lodestar Gems Only]	1周年 星祈祭 LEGEND FES 月影渐明[仅限付费星导石]	1週年 星祈祭LEGEND FES 照耀月影[付費限定]	5周限り！有償星導石でガチャを20回引くと\n10回無料！2024/08/31 11:59まで開催	For every 20 Wishes with Paid Lodestar Gems, get 10 Wishes for free! Max 5 times!\nUntil 2024/12/14 10:59 (UTC+8).	仅限5轮！使用付费星导石许下20次星愿后，即可免费许下10次星愿！举办时间截至2024/12/14 10:59（UTC+8）	僅限5週！使用付費星導石抽星願20次\n即可獲得10次免費！活動至2024/12/14 10:59（UTC+8）為止。
2084	刺突祭ガチャ LEGEND FES[有償限定]	Stab Division - LEGEND FES [Paid Lodestar Gems Only]	刺突会场 LEGEND FES[仅限付费星导石]	突刺祭 LEGEND FES[付費限定]	5周限り！有償星導石でガチャを20回引くと\n10回無料！2024/09/02 11:59まで開催	For every 20 Wishes with Paid Lodestar Gems, get 10 Wishes for free! Max 5 times!\nUntil 2024/10/21 10:59 (UTC+8).	仅限5轮！使用付费星导石许下20次星愿后，即可免费许下10次星愿！举办时间截至2024/10/21 10:59（UTC+8）	僅限5週！使用付費星導石抽星願20次\n即可獲得10次免費！活動至2024/10/21 10:59（UTC+8）為止。
2085	1周年 星祈祭 LEGEND FES 祈りと安らぎの花	1st Anniversary Star Festival - LEGEND FES Flowers of Blessed Serenity	1周年 星祈祭 LEGEND FES 祈愿与宁静之花	1週年 星祈祭 LEGEND FES 祈願與寧靜之花	ソフィー・アーシャが新登場＆PickUP！\n2024/08/31 11:59まで開催	Sophie and Ayesha make their debut!\nFeatured until 2024/12/14 10:59 (UTC+8).	苏菲、爱夏全新登场&PickUP！\n活动时间截至2024/12/14 10:59（UTC+8）	蘇菲、愛夏新登場&PickUP！\n活動至2024/12/14 10:59（UTC+8）為止。
2086	1周年 星祈祭 LEGEND FES 祈りと安らぎの花[有償限定]	1st Anniversary Star Festival - LEGEND FES Flowers of Blessed Serenity [Paid Lodestar Gems Only]	1周年 星祈祭 LEGEND FES 祈愿与宁静之花[仅限付费星导石]	1週年 星祈祭 LEGEND FES 祈願與寧靜之花[付費限定]	5周限り！有償星導石でガチャを20回引くと\n10回無料！2024/08/31 11:59まで開催	For every 20 Wishes with Paid Lodestar Gems, get 10 Wishes for free! Max 5 times!\nUntil 2024/12/14 10:59 (UTC+8).	仅限5轮！使用付费星导石许下20次星愿后，即可免费许下10次星愿！举办时间截至2024/12/14 10:59（UTC+8）	僅限5週！使用付費星導石抽星願20次\n即可獲得10次免費！活動至2024/12/14 10:59（UTC+8）為止。
2087	刺突祭ガチャ LEGEND FES[有償限定]	Stab Division - LEGEND FES [Paid Lodestar Gems Only]	刺突会场 LEGEND FES[仅限付费星导石]	突刺祭 LEGEND FES[付費限定]	5周限り！有償星導石でガチャを20回引くと\n10回無料！2024/09/02 11:59まで開催	For every 20 Wishes with Paid Lodestar Gems, get 10 Wishes for free! Max 5 times!\nUntil 2024/10/21 10:59 (UTC+8).	仅限5轮！使用付费星导石许下20次星愿后，即可免费许下10次星愿！举办时间截至2024/10/21 10:59（UTC+8）	僅限5週！使用付費星導石抽星願20次\n即可獲得10次免費！活動至2024/10/21 10:59（UTC+8）為止。
2088	1周年 星導祭 LEGEND FES 訣別の時	1st Anniversary Celestial Festival - LEGEND FES Time of Parting	1周年 星导庆典 LEGEND FES 诀别时刻	1週年 星導祭 LEGEND FES 訣別之時	レスナ・ララが新登場＆PickUP！\n2024/10/01 11:59まで開催	Spotlight on Resna and Lara!\nFeatured until 2025/01/16 10:59 (UTC+8).	蕾斯娜、拉拉全新登场&PickUP！\n活动时间截至2025/01/16 10:59（UTC+8）	蕾斯娜、拉拉新登場&PickUP！\n活動至2025/01/16 10:59（UTC+8）為止。
2089	1周年 星導祭 LEGEND FES 訣別の時[有償限定]	1st Anniversary Celestial Festival - LEGEND FES Time of Parting [Paid Lodestar Gems Only]	1周年 星导庆典 LEGEND FES 诀别时刻[仅限付费星导石]	1週年 星導祭 LEGEND FES 訣別之時[付費限定]	5周限り！有償星導石でガチャを20回引くと\n10回無料！2024/10/01 11:59まで開催	For every 20 Wishes with Paid Lodestar Gems, get 10 Wishes for free! Max 5 times!\nUntil 2025/01/16 10:59 (UTC+8).	仅限5轮！使用付费星导石许下20次星愿后，即可免费许下10次星愿！举办时间截至2025/01/16 10:59（UTC+8）	僅限5週！使用付費星導石抽星願20次\n即可獲得10次免費！活動至2025/01/16 10:59（UTC+8）為止。
2090	斬裂祭ガチャ LEGEND FES[有償限定]	Slash Division - LEGEND FES [Paid Lodestar Gems Only]	斩裂会场 LEGEND FES[仅限付费星导石]	斬裂祭 LEGEND FES[付費限定]	5周限り！有償星導石でガチャを20回引くと\n10回無料！2024/09/16 11:59まで開催	For every 20 Wishes with Paid Lodestar Gems, get 10 Wishes for free! Max 5 times!\nUntil 2024/11/04 10:59 (UTC+8).	仅限5轮！使用付费星导石许下20次星愿后，即可免费许下10次星愿！举办时间截至2024/11/04 10:59（UTC+8）	僅限5週！使用付費星導石抽星願20次\n即可獲得10次免費！活動至2024/11/04 10:59（UTC+8）為止。
2091	1周年 星導祭 LEGEND FES ヒト造リシ災禍	1st Anniversary Celestial Festival - LEGEND FES The Man-Made Calamity	1周年 星导庆典 LEGEND FES 人造灾祸	1週年 星導祭 LEGEND FES 人造災禍	ヴァレリア・ジェロンが新登場＆PickUP！\n2024/10/4 11:59まで開催	Spotlight on Valeria and Geron!\nFeatured until 2025/01/19 10:59 (UTC+8).	瓦莱莉娅、杰隆全新登场&PickUP！\n活动时间截至2025/01/19 10:59（UTC+8）	瓦萊莉婭、傑隆新登場&PickUP！\n活動至2025/01/19 10:59（UTC+8）為止。
2092	1周年 星導祭 LEGEND FES ヒト造リシ災禍[有償限定]	1st Anniversary Celestial Festival - LEGEND FES The Man-Made Calamity [Paid Lodestar Gems Only]	1周年 星导庆典 LEGEND FES 人造灾祸[仅限付费星导石]	1週年 星導祭 LEGEND FES 人造災禍[付費限定]	5周限り！有償星導石でガチャを20回引くと\n10回無料！2024/10/4 11:59まで開催	For every 20 Wishes with Paid Lodestar Gems, get 10 Wishes for free! Max 5 times!\nUntil 2025/01/19 10:59 (UTC+8).	仅限5轮！使用付费星导石许下20次星愿后，即可免费许下10次星愿！举办时间截至2025/01/19 10:59（UTC+8）	僅限5週！使用付費星導石抽星願20次\n即可獲得10次免費！活動至2025/01/19 10:59（UTC+8）為止。
